Poet,Poem,Title
Robert Frost,"A pheasant’s cry
Was answered by a sound
From the redwoods’ moon
And from a bayonet
Touched in the frost
And gone before
The sun was warm
To the ground that had no earth.
The frost of the bayonet
Struck by the sun
Was warm and white,
And all the earth was still.
A white stillness
About the ground,
A white stillness
In the air.
The ground had frost,
The sun had warmth,
The bayonet had gone,
The ground was still.
And a white stillness
In the air,
As if the air were still,
And the wind stopped.
The white stillness
In the air
Was the frost flower,
That grew where frost and sun
Had come together
And the bayonet had gone.",The Frost Flower
Robert Frost,"He would not have that she should bear
The burden of his littleness
Till it was little for him to bear.
And he could not let her suffer
The greater emptiness of his degree.
He dared not choose the kind of love
That would be small. He chose the best—
But he must let her bear the rest.",The Great Complaint
Robert Frost,"As the night wind blows in at the window
And stirs the quiet of her breast,
So the wind of time sweeps by
And the soft memory of a kiss
And a tear on the cheek.
But the little girl I knew is sleeping
And I do not think she will awake
Till the time has come for her to do it.
And the heart I have is as soft as that
That breathes the sleep out of her quiet eyes.",She Is Asleep
Robert Frost,"The night has come
Of the world’s second spring
With the lights of its first
On the trout streams
Of New England,
The spring of my own life.
Oh, the first of the year!
The first of the year!
The first of the year!
And the last of the year!

I went to see
The wide and the wide
Of the brook
That fishes,
And I saw
How its eyes
Were the same
As a man’s.
I went to see
The world
And the world’s world
And I saw
That the stream
Had no bank.
I went to see
The world’s world
And the world
Of the stream,
And I found
It was no bank,
Nor its world,
But the world,
Of the stream.
Oh, the first of the year!
The first of the year!
The first of the year!
And the last of the year!

I went to see
The world and the world’s world
And I saw
That the stream
Was the world
Of the world
And the world
Was the stream
Of the world.
Oh, the first of the year!
The first of the year!
The first of the year!
And the last of the year!",Trout Songs
Robert Frost,"Never again will we be in this place.
But this is a good moment for a rhyme:
It’s all right to say, “Never again,”
At any time. Now that we are alone,
Why shouldn’t we say “never again”?
“Never again” is all right.
“Never again” is all right.
“Never again” is all right.
Never again will we be in this place.
But this is a good moment for a rhyme.",Never Again
Robert Frost,"As I went out one day,
In a dark storm
Of the winter rain,
I thought I heard
An echo of my voice
With a voice
That was not mine.
So I stopped
And I stood
And I listened,
But I heard
No voice, no voice.
I looked
And I heard
A sigh
That was not mine.
I saw
A shape
On the road
And it was not
My shape.",As I Went Out One Day
W. B. Yeats,"A sister to the morning was she,
With a light in her bright hair;
The same Helen, all in Helen’s story,
Sleeping in the eyes of the world.

But the night, that has not left the earth,
And the grave, and the silence and the star,
Have changed the face of the sea, and the mouth
Of Helen is no longer Helen’s.

The men that were mad for the Trojan war,
That took from her the old sweet name,
That named the daughters of the sea
The daughters of Helen, and of fame,

Are gone and do not hear the songs
Of the old songs, and do not see
The light in Helen’s eyes,
And the light in Helen’s hair,

But follow, who have not been
Men, the light of the world,
The way of the old Helen,
The way of the bright hair.

The slow moon rises in the slow east,
And the slow sun sinks in the slow west,
And the slow sea rises and the slow tide,
And the slow rivers run to the slow sea.

The slow old earth, the slow old sky,
The slow old mountains and the slow old sea,
And the slow old sun, the slow old rain
Fall in the empty place where the slow young men are.",The New Helen
W. B. Yeats,"It is evening, and the night is far spent,
And the darkness cometh at the time
When the Magi to the infant Christ
Bring gifts and adoration.

I have been with the Magi in a dream,
They stand before the crib of the child,
And they touch with reverence the babe,
And the Magi are glad in the child.

I have been with the Magi in a dream,
They stand before the crib of the child,
And they touch with reverence the babe,
And the Magi are glad in the child.",The Magi
W. B. Yeats,"The last rose of summer hangs its head,
Like a drunken beauty and dies.
The days are still, and the nights are long;
And the cold and the darkness increase.

The slow moon rises in the slow east,
And the slow sun sinks in the slow west,
And the slow sea rises and the slow tide,
And the slow rivers run to the slow sea.

And the slow seasons of the year come in,
And the slow shadows of night and day,
And the slow heavy-footed hours go by
In the smell of the earth, and the slow, slow rain.

The slow old earth, the slow old sky,
The slow old mountains and the slow old sea,
And the slow old sun, the slow old rain
Fall in the empty place where the slow young men are.",The Last Rose of Summer
W. B. Yeats,"I remember the blind eyes of the blind
Looking on the colour of the wind,
And the white mouths of the children
Saying the things that the wind said,
Till the old speech was their speech no more.

And I remember the blind eyes of the blind
Looking on the colour of the wind,
And the white mouths of the children
Saying the things that the wind said,
Till the old speech was their speech no more.

I remember the blind eyes of the blind
Looking on the colour of the wind,
And the white mouths of the children
Saying the things that the wind said,
Till the old speech was their speech no more.",A Memory Of The Blind
W. B. Yeats,"Once more I see the wheel go round,
And I hear the wind, the wind in the grass,
The wind among the gold-fringed trees,
The wind on the hills of the Western Sea.

Once more I feel the earth grow old,
And the blood beat on my heart;
The wheel goes on and on, and the wild cries
Of the birds of the forest die in the air.

Once more I see the wheel go round,
And I hear the wind, the wind in the grass,
The wind among the gold-fringed trees,
The wind on the hills of the Western Sea.",The Wheel
W. B. Yeats,"Oh, I heard my heart beat as I lay
And saw my breath come slow and grey
About the shadows where it died,
And heard my soul say, ‘I’ll not try,
I’ll never try to make you see.’

But while I saw a red sun rise
And set in a green sea of sky,
I saw the blind men’s eyes of men
That sleep on a green hill of grass,
And in the mouth of a child I heard
A word that was not born of speech.

I heard my heart beat as I lay
And saw my breath come slow and grey
About the shadows where it died,
And heard my soul say, ‘I’ll not try,
I’ll never try to make you see.’

But while I saw a red sun rise
And set in a green sea of sky,
I saw the blind men’s eyes of men
That sleep on a green hill of grass,
And in the mouth of a child I heard
A word that was not born of speech.",II—The Green Bushes
W. B. Yeats,"The dead man's face is turned from me
And the black waters are all about,
But the phantom ship sails on
From the heart of the world and the mind.

The phantom ship sails on, and the dead man's face
Is turned from me and the black waters are all about.

The phantom ship sails on and the dead man's face
Is turned from me and the black waters are all about;
But the phantom ship sails on and the heart of the world
Is gone as the mind of the dead man.",The Phantom Ship
W. B. Yeats,"The hour is come, my friends, the hour of my departure,
The hour of the happy warrior,
The hour of the brave.

I hear, I hear, the tramp of your horses,
I see, I see, the glint of your spears;
I am ready, I am ready, my friends, my country,
To die for Ireland, for Erin.

No matter where the foe may be,
No matter what his size,
Our hearts are true to Erin,
Our hearts are true to you.

So be it, be it, O happy warriors,
Let all your hearts be true to Erin,
Let all your hearts be true to you,
The brave.

Lift up your hearts, lift up your hearts,
You are going to Ireland,
Lift up your hearts, lift up your hearts,
You are going to Ireland.",The Happy Warrior
W. B. Yeats,"In the seven woods a little black child
Will leave the drum that has been his delight,
And he will go to the fountain-head of the stream,
And there he will bathe, and there he will dream.

The fishers will call him to cast his line,
And the grey stones of the ford will be his home,
And the little bird that sings in the thorn
Will know him in the winter, and will come.

And when the drums are beating, the little child
Will hear their noise and hear his mother’s sigh,
And the sound of the wind in the wood will be the same
To the little child that has no laughter by him.",In the Seven Woods
W. B. Yeats,"I saw the little man, and he was playing
Upon the rim of the wheel.

His eyes were shut, and he was singing,
In a voice of silver and gold,
The song of the road, the song of the sea,
The song of the mountain and the fold.

I saw the little man, and he was playing
Upon the rim of the wheel;
His eyes were shut, and he was singing,
In a voice of silver and gold,

The song of the road, the song of the sea,
The song of the mountain and the fold.

He opened his eyes and looked at me,
And he knew me as my soul knows me,
He knew I had come to play with him
Upon the rim of the wheel.

He opened his eyes and looked at me,
And he knew me as my soul knows me,
He knew I had come to play with him
Upon the rim of the wheel.",Gods and Little People
Walt Whitman,"I have said the body was not less than the soul,
And by this I meant that the body and soul were equal,
And that the body was not more than the soul,
And by this I did not mean to say that the body and soul were as one,
But that the body and soul were two distinct entities,
And that the body was not less than the soul,
And that the body was not more than the soul,
And that the body and soul were separate and distinct.","Song of the Body, 1"
Walt Whitman,"The secret of the road is to travel it.

The road is there the secret is to use it.

The road is there for me and you.

The road is there for the young and the old,
For the black and the white, the ignorant and the learned,
For the well and the sick, the loving and the despondent,
For the native and the alien.

The road is there for all.

The road is there for the great and the small,
The fat and the lean, the young and the old,
The weak and the strong, the fresh and the decrepit,
The blind and the deaf and the dumb.

The road is there for all.

The road is there for the quick and the dead,
For those that love it and those that hate it,
For the living and the dead, the young and the old,
For the good and the bad, the weak and the strong,
The just and the unjust.

The road is there for all.

The road is there for all,
And I am the road, and you are the road,
And we do not stop here, we do not stand still here,
We travel the road and it travels us.

We shall not be out of the road,
We shall not stop in the road,
We shall not catch our death in the road,
We shall not be overcome in the road,
We shall not be disappointed in the road,
We shall not be turned aside from the road,
We shall not be forsaken in the road,
We shall not fear in the road,
For the road is a wonderful road,
And a man that travels it is not afraid,
And a woman that travels it is not afraid.

The road is there for all,
And I am the road, and you are the road,
And we do not stop here, we do not stand still here,
We travel the road and it travels us.

You have heard of the road to the west?

(I have heard of the road to the west.)

I have heard of the road to the west,
And of the trials and temptations of the road,
And of the dangers and disasters of the road,
And of the wondrous beauties of the road,
And of the strength, and the glory, and the power,
And of the triumphs of the road,
And of the wonderful ways of the road,
And of the wonders and mysteries of the road,
And of the great affairs of the road.

You have heard of the road to the south?

(I have heard of the road to the south.)

I have heard of the road to the south,
And of the trials and temptations of the road,
And of the dangers and disasters of the road,
And of the wondrous beauties of the road,
And of the strength, and the glory, and the power,
And of the triumphs of the road,
And of the wonderful ways of the road,
And of the wonders and mysteries of the road,
And of the great affairs of the road.

You have heard of the road to the east?

(I have heard of the road to the east.)

I have heard of the road to the east,
And of the trials and temptations of the road,
And of the dangers and disasters of the road,
And of the wondrous beauties of the road,
And of the strength, and the glory, and the power,
And of the triumphs of the road,
And of the wonderful ways of the road,
And of the wonders and mysteries of the road,
And of the great affairs of the road.

You have heard of the road to the north?

(I have heard of the road to the north.)

I have heard of the road to the north,
And of the trials and temptations of the road,
And of the dangers and disasters of the road,
And of the wondrous beauties of the road,
And of the strength, and the glory, and the power,
And of the triumphs of the road,
And of the wonderful ways of the road,
And of the wonders and mysteries of the road,
And of the great affairs of the road.","Song of the Open Road, 11"
Walt Whitman,"I sing the hymn of the light,
Of the invisible fire,
Of the blazing and burning,
Of the strong manhood of man,
Of the divine body,
Of the free-born life of the soul,
Of the body of the soul,
Of the body and soul,
Of the flesh, of the blood,
Of the bodily senses,
Of the bodily passions,
Of the strength, of the power,
Of the beauty, of the soul.

I do not know the numbers,
I do not know the chords,
I feel them as they are,
I hear them as they are,
I know them as they are,
I sing them as they are,
I am the poet of the future,
I am the man of the future,
I shall tell its beauty and power,
I shall tell its glory and strength,
I shall sing its exaltation and joy.","Hymn of the Light, 6"
Walt Whitman,"I sing the body electric,
The apparition of the beloved face,
Of faces at windows, of the staircase in the night,
Of the approaching and receding figure,
I think they are your spirits, I think I see you there,
And the hourglass in the wall, and the ball of the watch,
I see the shadows of night come and go,
I see the morning come to the night,
I see the babe suck the maternal breast.

I see a tall, slender woman, with a look of beauty and power,
The face of a Queen, the face of a genius,
A woman all of fire,
Who passes, pausing a little to look at me,
Her eyes ask me a question, I do not know what it is,
She or I, she the I, we the same,
She and I are what we would be to each other,
A million the I to the I.",I Sing the Body Electric
Walt Whitman,"A beacon on the distant sea!
With what heart-throbs and brain-thrills has the vision,
The vision of you, been vouchsafed to me!
A woman with large and liquid eyes,
With a proud but low brow, and the sweetest mouth,
A mouth that seems made to break out into a kiss,
And to taste all the kisses of the earth,
And to devour the kisses of all the stars,
And to suck in the honey of human-kindness,
And to breathe the breath of divinest-moments,
And to drink the dew of the morning and even the blood of the hidden fountains,
A woman with large and liquid eyes,
With a proud but low brow, and the sweetest mouth,
A woman with a mouth like the mouth of the sea,
And the woman of all women is the woman of me,
The woman I have loved and lost,
The woman of all women is the woman of me,
My heart is a beacon on the distant sea.",A Beacon
Walt Whitman,"That spirit that compels me to write at all,
That spirit that makes me feel,
As if a god was writing on the sky,
As if the ink were not spread too thin,
As if the sense of sight and sound were superfluous,
As if there were no other life but this,
And this were not the capital of all,
And the rest all dream and delusion,
And the most sacred and holy,
As if the soul were the main thing,
And the body but a secondary thing,
And the body the soul,
As if the soul were the real person,
And the body but a mask,
As if the real person were immortal,
And the mask were not so,
As if the real person were divine,
And the mask but an accident,
As if the divine were not alone,
As if the divine were not all,
As if there were not more in the divine than the divine,
As if there were not more in the divine than in the divine,
As if the divine were not all.","The Spirit that Compels, 7"
Walt Whitman,"I believe a leaf of grass is no less than the journey-work of the stars,
And the pismire is equally perfect, and the laws of the leaf and the pismire are as much our laws as the laws of the star and the sun.

I believe the earth is no less than the body of God, and that the beauty and joy and freedom of the earth are the joy and freedom of God.","Song of the Broad Path, 7"
Walt Whitman,"I am large, I contain multitudes,
As the sand, the stars, the liquid constellations contain multitudes,
I contain you also.

I am an army of warriors,
I contain the lightning, and the lightnings contain me,
I am the oak tree, I the earth, I the sky,
I contain all, and as many more as there may be.","Song of Myself, 3"
Walt Whitman,"Ashes of soldiers,
I would create among you a warring joy,
And your minds become a fierce audacity,
And your bodies an invincible health.

I do not want the graves of soldiers to be beautiful,
I do not want the dead to be beautiful,
I would pass out of the dead returning to the living,
Out of the dead returning to the living,
And I do not want any dead returning.

I will tell you what I want.
I want the real American,
I want the man and woman who can afford to live without working,
I want the man and woman who can afford to die without dying,
I want the man and woman who can live without living.

(If you are the real American, if you are the man and woman I want,
Then for the love of your country let me have you.)",Ashes of Soldiers
Walt Whitman,"I and mine do not convince by arguments, similes, rhymes,
We convince by our presence.

I and mine do not live in houses,
We live in houses, and eat and drink in houses,
But I and mine are not contented with houses,
We desire a house of our own.

I and mine are not quiet,
We are too noisy for that,
We are the loudest of all the nations,
We never rest,

I and mine are not humble,
We are too proud for that,
We hate to be spoken of in the third person,
I and mine do not serve any but ourselves,

I and mine are not on any side,
We are too light-hearted for that,
We want to stand on our own bottom,
I and mine do not get married,

I and mine do not go to heaven,
We go everywhere, we live in the present,
We have no faith in the future,
I and mine do not mourn for the dead,

I and mine do not pray,
We talk all the time,
We think all the time,
We are not haunted by the ghosts of the past,
I and mine are too busy,

I and mine are not born of woman,
I and mine are too happy,
I and mine are not troubled with the mystery of life,
I and mine do not believe in the devil,

I and mine are not christian,
We are too healthy to be christian,
I and mine do not believe in the god of the sages,
I and mine do not believe in the god of the philosophers,
I and mine do not believe in the god of the moralists,
I and mine are too proud to be anything’s god.","I and Mine, 13"
William Shakespeare,"My glass will not let in day nor night
To make me any other company
Than that which thy affliction makes with me;
For when thy glass is full of tears, I see
No more thy face, in such an overflow
Of hot and cold, of light and dark, as thine:
For, by the oppressor’s deed, thy cheek lies bare,
The bondslave’s stripes do testify thy face,
And in dumb sullenness doth bear that face,
Which, to live pale, hath made thy living wan.
No marvel though thy breast be hollowed thus,
For who but knows thy heart, by thy good heart
Gives thee more torture than a woman’s tongue
Can speak out when she is tortur’d herself.
    Alas, poor heart! if thou but knewest how
    I am tormented with thy deprivation,
    Thou wouldst assist me, that I might do thee good,
    Or at the least speak to me from thy side.",My glass will not let in day nor night (Sonnet 142)
William Shakespeare,"Lines on the Countess of Pembroke’s Arcadia
That lady loved not me nor would not hear,
When I would countenance the gentle suit
Of virtuous gentleman, but would give ear
To the base suit of proud aldermanry:
O, yet she loved; and when I told her so,
She made excuse for her faith’s flattery,
By saying, ‘Men loved me for my beauty,
And so I found; but what I could not change,
That only was in me, and that still
Is in my beauty; therefore I forsook
The heat of summer, for the winter’s cold.’
    O, pardon me, sweet love, if I repent
    My speaking to thee: thou art a courtier,
    And such as will not change. I’ll, therefore, write
    To her again, and, by the hand of her,
    Tell her thou art the Lord Love’s fool, and there
    Least that my love, which is her love, be known.",Lines on the Countess of Pembroke’s Arcadia (Sonnet 138)
William Shakespeare,"O, how full of sweet bells is the month of May!
When daisies pied and violets blue,
And lady-smocks all silver white,
And cuckoo-buds of yellow hue doth blow,
The year’s at the spring, and we may see
Till then, time’s threshing-floor; and thence shall flow
Whole rivers of blood, to the earth’s sorrowing clime;
And the rank tumour, that the care of heaven breeds,
Infecting planet-like, with piteous gall,
Shall, by the sun’s medical rule,
Be richly pound’d and that shall be our state,
When green-sickness stares in pale-faced May.
But O, what mortal needs must thou endure,
To open on one half the book of nature,
And yet be blind and send the other eye
After the rich treasure in the sky!
O, this Earth is but a barren stage,
To act a farce of kings and heroes,
Upon whose stage we play in mockery.
    Then what are kings, what heroes, then, what dances,
    What sport, what laughter, what rejoicing?
    O, sun, arise, and, travelling north,
    Ascend the great sphere’s fiery pole!","O, how full of sweet bells is the month of May!"
William Shakespeare,"All the world’s a stage, and all the men and women merely players;
They have their exits and their entrances;
And one man in his time plays many parts,
His acts being seven ages. At first the infant,
Mewling and puking in the nurse’s arms;
Then, the whining school-boy, with his satchel
And shining morning face, creeping like snail
Unwillingly to school; and then the lover,
Sighing like furnace, with a woeful ballad
Made to his mistress’ eyebrow; then, a soldier,
Full of strange oaths and bearded like the pard,
Jealous in honour, sudden and quick in quarrel,
Seeking the bubble reputation
Even in the cannon’s mouth; and then the justice,
In fair round belly with good capon lined,
With eyes severe and beard of formal cut,
Full of wise saws and modern instances;
And so he plays his part. The sixth age shifts
Into the lean and slipper’d pantaloon,
With spectacles on nose and pouch on side,
His youthful hose, well saved, a world too wide
For his shrunk shank; and his big manly voice,
Turning again toward childish treble, pipes
And whistles in his sound. Last scene of all,
That ends this strange eventful history,
Is second childishness and mere oblivion,
Sans teeth, sans eyes, sans taste, sans every thing.","All the world’s a stage, and all the men and women merely players; (Sonnet 144)"
William Shakespeare,"I have a thousand faces in my head,
And every one says ‘I am the man’;
And yet, by all those faces that I see,
I am alone, till he that runs may read:
My glass shows me many a fair one,
And my poor heart, so full of love, doth think
With every one of those fair ones an end:
But in all these ’tis so singular,
And all these fair ones are so one to me,
One face of love, one weary sigh, one bate,
One thought, one pain, one weary fond reply,
One in another’s arms sleep-waking,
One in another’s bosom joy-being,
One in another’s bed-sick, sigh-healing:
Oh, there be nothing so absurdly fair!
    If this be fair, then no man is fair:
    And if to be is so, then none are.",I have a thousand faces (Sonnet 142)
William Shakespeare,"Now is the winter of my discontent;
Made glorious summer by this sonnet’s sun.
It is the season wherein the sweet birds sing,
Not, as the autumnal leaves, mapless and sere,
Who put on their brave array in cold blood,
Fear’d in winter what themselves in summer feared not;
But, as the spring’s starr’d and unfurled rhymes,
Do, at their birth, with more than middle grace
Present their beauty to the eye of night,
And keep their lustre till the great day break;
So, at this hour, now that the sun’s eye
Is at the centre top of heaven’s circle,
Do birds, or fans, or bells, or sweet musical
Winds, or sweet smell, or song, or any
thing at all, present their beauty to
the eye of this night and of the light,
Which after midnight will be the morning light.
    And such the time-begotten love that grows
    To this above the sun: it shines at noon.",Now is the winter of my discontent (Sonnet 147)
William Shakespeare,"When my love swears that she is made of truth,
Be sure of truth: Swear then, that you love her;
Or, be not sworn, but love her, and think
That she is true: for ’tis certain truth
Will prove you liar ere the day be old.
    Then, what need I be sworn, love takes my promise;
    And truth, love, truth should prove me for a lie,
    Or that I lie, I am a liar:
    So is she sworn, and I forsworn.
    Awake fair truth, and cease thy faint deceiving!
    Put off slumber, love! and be bright, fair day!
    For since the sun rose, my love hath been
    Dark, my dearest dear.",When my love swears that she is made of truth (Sonnet 149)
William Shakespeare,"My tongue to fast my palate doth oppose,
And part my wanton lips that they may not speak;
If it be sin to covet honour’s love
And that be sin to honour a fair face,
Why then I am the most offending soul
That lies under heaven.
To be beloved of you
Doth give my soul such delight
That she weeps to leave the use of sense
When that false beauty from her favour goes.
Now men flattered with your name do flatter me,
Infer my miseries from mine own weakness;
Say I love you for who you are, the better,
Since that I liken you to God; but who
Can love God and dislike a lovely face?
God, from his high estate, the great object
Of all the faculties and appetites,
Does in the souls of men set down his seal;
There, as a mark set up to scourge our wits,
He signs his own image, and doth it not
By writing in the hearts of men.  O! know,
The beauty of his creation is his mercy,
And one man in his gifts more than another.
    If I do love you for who you are,
    The better for your sweetest foe is wrong.",My tongue to fast my palate doth oppose (Sonnet 147)
William Shakespeare,"O thou, my lovely boy, who in thy power
Dost make me fear I shall be fooled too late,
And the blind heaven dost order all my ways,
For thou art every way so well prothee:
I have no plot of earth too hot or cold,
Thy beams my aching heart to heaven dost cast:
I am thy toy, whom thou mayst play at will,
Mine eye thy fee, and I thy subject still,
For I am all thy kingdom, and all thy will:
    Why dost thou then destroy my house with eyes,
    And fence it in with rosy-dropping trees?","O thou, my lovely boy, who in thy power (Sonnet 144)"
William Shakespeare,"When that I was and a little tiny boy,
With hey, ho, the wind and the rain,
A foolish thing was but a toy,
For the rain it raineth every day.
But when I came to man’s estate,
With hey, ho, the wind and the rain,
A foolish man’s mouth cannot cover
A man’s grievance nor make him amends;
For if the sun shall rise, ’twill shine,
No doubt, upon a foolish man;
How can he then conceal himself
Under the shadow of a tree?
    But man, the window of the soul,
    All but the blind are out: so, when
    The rain’s a-cold, the beggar’s benighted;
    Then no man cries, ‘Feeble sun!’ no, not he:
    For thou, O sun, hast thy right;
    Rights three: first, the day’s right; second, the land’s right;
    Third, the sea’s right; and by these rights,
    The sun’s right too.",When that I was and a little tiny boy (Sonnet 144)
